rid,city,candidate,gender,party,votes,total,won,year,position
BARMM,SULU,"BASALUDDIN, WILLIAM P.",0,PMP,2499,171276,0,1992,2nd District Sangguniang Panlalawigan
BARMM,SULU,"DAUD, ABRAHAM S.",0,NP,12905,171276,0,1992,2nd District Sangguniang Panlalawigan
BARMM,SULU,"HAMID, EDJAL M.",0,KBL,393,171276,0,1992,2nd District Sangguniang Panlalawigan
BARMM,SULU,"HARAMAIN, HADJI BASIL -",0,PMP,453,171276,0,1992,2nd District Sangguniang Panlalawigan
BARMM,SULU,"ILAJI, ANNAN A.",0,LDP,26878,171276,0,1992,2nd District Sangguniang Panlalawigan
BARMM,SULU,"IMLAN, BERHAM A.",0,LDP,33507,171276,0,1992,2nd District Sangguniang Panlalawigan
BARMM,SULU,"KAMONG, ABDULJALAL T.",0,NP,804,171276,0,1992,2nd District Sangguniang Panlalawigan
BARMM,SULU,"LIM, ANTHONY T.",0,INDEPENDENT,5872,171276,0,1992,2nd District Sangguniang Panlalawigan
BARMM,SULU,"MADDAS, SUKARNO J",0,PMP,687,171276,0,1992,2nd District Sangguniang Panlalawigan
BARMM,SULU,"MUKSAN, IBRAHIM A.",0,INDEPENDENT,1618,171276,0,1992,2nd District Sangguniang Panlalawigan
BARMM,SULU,"MUKTAR, RENE L.",0,KBL,205,171276,0,1992,2nd District Sangguniang Panlalawigan
BARMM,SULU,"MUNDOC, ELCID S.",0,NP,3597,171276,0,1992,2nd District Sangguniang Panlalawigan
BARMM,SULU,"OMAR, MAULANA M.",0,LDP,33451,171276,0,1992,2nd District Sangguniang Panlalawigan
BARMM,SULU,"SAHIBUL, JUNHABIR S.",0,KBL,1217,171276,0,1992,2nd District Sangguniang Panlalawigan
BARMM,SULU,"SAHIDULLA, ABDURASHID A.",0,LDP,23318,171276,0,1992,2nd District Sangguniang Panlalawigan
BARMM,SULU,"SAKANDAL, HADJI JAVIER -",0,KBL,230,171276,0,1992,2nd District Sangguniang Panlalawigan
BARMM,SULU,"SANGKULA, NURUDUM A.",0,NP,1082,171276,0,1992,2nd District Sangguniang Panlalawigan
BARMM,SULU,"TAWASIL, IFTIKAR S.",0,KBL,231,171276,0,1992,2nd District Sangguniang Panlalawigan
BARMM,SULU,"UNDUG, TAWASIL A.",0,LAKAS-NUCD,6677,171276,0,1992,2nd District Sangguniang Panlalawigan
BARMM,SULU,"ANNI, ARDEN S.",0,LAKAS-NUCD,21489,60823,0,1992,2nd District Representative
BARMM,SULU,"ARABANI, HAJ. ABDULHAN S.",0,PMP,145,60823,0,1992,2nd District Representative
BARMM,SULU,"ESTINO, HADJI LAJID S.",0,KBL,1001,60823,0,1992,2nd District Representative
BARMM,SULU,"SAHIPA, SHARIFA NURMINI A.",0,KBL,114,60823,0,1992,2nd District Representative
BARMM,SULU,"TAMMANG, ASANI S.",0,LDP,37694,60823,0,1992,2nd District Representative
BARMM,SULU,"TANAN, YURKIN A.",0,KBL,303,60823,0,1992,2nd District Representative
BARMM,SULU,"WALLI, WILLY S.",0,KBL,77,60823,0,1992,2nd District Representative
BARMM,SULU,"ESTINO, HADJI MUNIB S.",0,LDP,73167,147296,0,1992,Vice-Governor
BARMM,SULU,"IBNO, TOTONG H.",0,KBL,385,147296,0,1992,Vice-Governor
BARMM,SULU,"IMRAN, USTADZ MANNAN A.",0,PMP,5815,147296,0,1992,Vice-Governor
BARMM,SULU,"SABIRIN, GANARUL A.",0,KBL,280,147296,0,1992,Vice-Governor
BARMM,SULU,"TULAWIE, KIMAR O.",0,NUCD-UMDP/LAKAS TAO,67649,147296,0,1992,Vice-Governor
